user_id,event_name,event_time
1,signup,2024-11-23 00:00:00
1,invited_team_member,2024-11-26 11:14:00
1,used_dashboard,2024-12-02 05:21:00
1,created_report,2024-12-05 00:00:00
1,created_report,2024-12-18 23:54:00
1,used_dashboard,2024-12-20 10:58:00
1,created_project,2024-12-10 06:26:00
1,created_report,2024-11-24 22:13:00
1,used_dashboard,2024-12-31 02:52:00
1,exported_data,2024-12-30 20:25:00
1,used_dashboard,2024-12-29 04:37:00
1,created_project,2025-01-05 23:59:00
1,created_project,2025-01-11 21:38:00
1,exported_data,2025-01-06 23:51:00
1,created_project,2025-01-22 23:31:00
1,invited_team_member,2025-02-04 01:01:00
1,created_project,2025-02-03 03:53:00
1,used_dashboard,2025-01-29 07:55:00
1,created_project,2025-01-23 08:46:00
1,created_report,2025-02-14 21:31:00
1,exported_data,2025-01-31 06:24:00
1,created_project,2025-01-24 21:46:00
1,created_report,2025-03-20 12:15:00
1,created_project,2025-03-15 14:27:00
1,used_dashboard,2025-02-23 11:57:00
1,created_project,2025-03-08 09:53:00
1,used_dashboard,2025-03-03 08:23:00
1,invited_team_member,2025-03-06 13:07:00
1,created_project,2025-03-02 17:46:00
1,created_project,2025-02-23 08:10:00
1,created_project,2025-03-04 07:40:00
2,signup,2024-05-05 00:00:00
2,used_dashboard,2024-05-28 23:38:00
2,created_project,2024-05-20 05:26:00
2,used_dashboard,2024-05-13 21:36:00
2,used_dashboard,2024-06-24 05:08:00
2,used_dashboard,2024-06-11 18:55:00
2,created_report,2024-06-29 16:57:00
3,signup,2024-12-12 00:00:00
3,used_dashboard,2024-12-30 00:00:00
3,created_project,2025-01-07 03:13:00
3,exported_data,2024-12-16 21:44:00
3,used_dashboard,2025-01-03 08:32:00
3,used_dashboard,2025-01-05 11:26:00
3,created_project,2025-01-06 15:04:00
3,created_project,2025-01-07 21:17:00
3,used_dashboard,2024-12-26 20:44:00
3,created_project,2024-12-12 09:20:00
3,created_project,2024-12-30 07:36:00
3,used_dashboard,2024-12-15 12:43:00
3,invited_team_member,2024-12-21 11:28:00
3,created_report,2025-01-26 21:28:00
3,created_report,2025-01-23 11:52:00
3,created_project,2025-01-24 12:25:00
3,exported_data,2025-01-26 12:02:00
3,created_project,2025-01-15 00:32:00
3,created_report,2025-01-21 20:08:00
3,created_report,2025-01-20 10:56:00
3,used_dashboard,2025-01-16 02:31:00
3,created_project,2025-01-20 18:39:00
3,created_project,2025-01-26 16:08:00
3,created_report,2025-02-26 15:09:00
3,created_project,2025-02-19 23:17:00
3,used_dashboard,2025-02-10 13:04:00
3,created_report,2025-02-27 11:44:00
3,used_dashboard,2025-03-01 05:38:00
3,invited_team_member,2025-02-24 21:14:00
3,created_report,2025-02-23 21:17:00
3,used_dashboard,2025-02-22 15:08:00
