user_id,signup_date,country,acquisition_channel,company_size,engagement_score,invited_team
1,2024-11-23,Philippines,Organic Search,SMB,55,True
2,2024-05-05,Barbados,Referral,SMB,33,False
3,2024-12-12,Jamaica,Paid Ads,SMB,74,True
4,2024-01-17,Liberia,Organic Search,SMB,49,True
5,2024-09-15,Taiwan,Paid Ads,SMB,45,True
6,2024-11-28,Tokelau,Paid Ads,SMB,77,True
7,2024-10-28,Uganda,Partner,Mid Market,20,True
8,2024-03-22,Reunion,Social Media,SMB,39,True
9,2024-04-20,Brunei Darussalam,Partner,SMB,68,True
10,2024-02-19,Venezuela,Partner,Mid Market,97,False
11,2024-05-15,Botswana,Organic Search,Mid Market,88,True
12,2024-03-04,Tunisia,Social Media,SMB,57,False
13,2024-11-17,Chile,Paid Ads,Mid Market,66,True
14,2024-10-22,Uruguay,Referral,Mid Market,25,True
15,2024-12-04,Afghanistan,Referral,Mid Market,30,True
16,2024-04-29,Sweden,Organic Search,SMB,78,False
17,2024-11-21,Gabon,Partner,SMB,65,True
18,2024-04-17,Japan,Partner,Mid Market,29,False
19,2024-11-07,Papua New Guinea,Referral,SMB,51,True
20,2024-03-24,Libyan Arab Jamahiriya,Social Media,SMB,91,True
21,2024-04-22,Heard Island and McDonald Islands,Partner,Mid Market,27,False
22,2024-04-27,Mali,Organic Search,Mid Market,71,True
23,2024-05-17,Switzerland,Organic Search,SMB,92,True
24,2024-06-10,Nepal,Referral,Mid Market,70,True
25,2024-11-25,Indonesia,Social Media,SMB,37,True
26,2024-05-06,Kyrgyz Republic,Paid Ads,SMB,94,True
27,2024-08-07,Guyana,Paid Ads,SMB,48,True
28,2024-03-11,Monaco,Paid Ads,SMB,26,True
29,2024-02-26,Antigua and Barbuda,Referral,Mid Market,74,True
30,2024-11-01,Saudi Arabia,Organic Search,SMB,96,True
31,2024-08-27,Burkina Faso,Paid Ads,SMB,90,True
32,2024-01-06,Antigua and Barbuda,Organic Search,Mid Market,88,True
33,2024-05-16,Saint Kitts and Nevis,Partner,SMB,75,True
34,2024-03-21,Andorra,Social Media,SMB,53,True
35,2024-09-13,Panama,Referral,SMB,33,False
36,2024-11-16,Reunion,Partner,Mid Market,84,True
37,2024-11-07,Madagascar,Referral,SMB,40,True
38,2024-10-03,Togo,Paid Ads,Enterprise,96,True
39,2024-06-14,Bahrain,Social Media,SMB,66,True
40,2024-06-06,Togo,Referral,SMB,92,True
41,2024-02-10,Colombia,Organic Search,Mid Market,28,False
42,2024-09-29,Brazil,Referral,SMB,80,True
43,2024-10-08,Slovakia (Slovak Republic),Referral,SMB,97,True
44,2024-08-04,Djibouti,Referral,Enterprise,45,False
45,2024-12-31,Reunion,Partner,SMB,67,True
46,2024-08-12,Korea,Paid Ads,SMB,51,True
47,2024-04-25,Burkina Faso,Organic Search,SMB,95,True
